fecha,years_since_default
2022-08-09,2.21492128678987
2022-08-10,2.217659137577002
2022-08-11,2.220396988364134
2022-08-12,2.223134839151266
2022-08-15,2.2313483915126624
2022-08-16,2.2340862422997945
2022-08-17,2.236824093086927
2022-08-18,2.239561943874059
2022-08-19,2.242299794661191
2022-08-22,2.2505133470225873
2022-08-23,2.2532511978097194
2022-08-24,2.2559890485968515
2022-08-25,2.2587268993839835
2022-08-26,2.2614647501711156
2022-08-29,2.269678302532512
2022-08-30,2.272416153319644
2022-08-31,2.2751540041067764
2022-09-01,2.2778918548939084
2022-09-02,2.2806297056810405
2022-09-05,2.2888432580424367
2022-09-06,2.291581108829569
2022-09-07,2.294318959616701
2022-09-08,2.297056810403833
2022-09-09,2.299794661190965
2022-09-12,2.308008213552361
2022-09-13,2.3107460643394937
2022-09-14,2.3134839151266258
2022-09-15,2.316221765913758
2022-09-16,2.31895961670089
2022-09-19,2.327173169062286
2022-09-20,2.329911019849418
2022-09-21,2.3326488706365502
2022-09-22,2.3353867214236823
2022-09-23,2.3381245722108144
2022-09-26,2.346338124572211
2022-09-27,2.349075975359343
2022-09-28,2.351813826146475
2022-09-29,2.3545516769336072
2022-09-30,2.3572895277207393
2022-10-03,2.3655030800821355
2022-10-04,2.3682409308692676
2022-10-05,2.3709787816563996
2022-10-06,2.3737166324435317
2022-10-07,2.3764544832306638
2022-10-10,2.3846680355920604
2022-10-11,2.3874058863791925
2022-10-12,2.3901437371663246
2022-10-13,2.3928815879534566
2022-10-14,2.3956194387405887
2022-10-17,2.403832991101985
2022-10-18,2.406570841889117
2022-10-19,2.409308692676249
2022-10-20,2.412046543463381
2022-10-21,2.414784394250513
2022-10-24,2.42299794661191
2022-10-25,2.425735797399042
2022-10-26,2.428473648186174
2022-10-27,2.431211498973306
2022-10-28,2.433949349760438
2022-10-31,2.4421629021218343
2022-11-01,2.4449007529089664
2022-11-02,2.4476386036960984
2022-11-03,2.4503764544832305
2022-11-04,2.4531143052703626
2022-11-07,2.461327857631759
2022-11-08,2.4640657084188913
2022-11-09,2.4668035592060233
2022-11-10,2.4695414099931554
2022-11-11,2.4722792607802875
2022-11-14,2.4804928131416837
2022-11-15,2.4832306639288158
2022-11-16,2.485968514715948
2022-11-17,2.48870636550308
2022-11-18,2.4914442162902124
2022-11-21,2.4996577686516086
2022-11-22,2.5023956194387407
2022-11-23,2.5051334702258727
2022-11-24,2.507871321013005
2022-11-25,2.510609171800137
2022-11-28,2.518822724161533
2022-11-29,2.521560574948665
2022-11-30,2.524298425735797
2022-12-01,2.5270362765229293
2022-12-02,2.529774127310062
2022-12-05,2.537987679671458
2022-12-06,2.54072553045859
2022-12-07,2.543463381245722
2022-12-08,2.546201232032854
2022-12-09,2.5489390828199863
2022-12-12,2.5571526351813825
2022-12-13,2.5598904859685145
2022-12-14,2.5626283367556466
2022-12-15,2.565366187542779
2022-12-16,2.568104038329911
2022-12-19,2.5763175906913074
2022-12-20,2.5790554414784395
2022-12-21,2.5817932922655715
2022-12-22,2.5845311430527036
2022-12-23,2.5872689938398357
2022-12-26,2.595482546201232
2022-12-27,2.598220396988364
2022-12-28,2.6009582477754964
2022-12-29,2.6036960985626285
2022-12-30,2.6064339493497606
2023-01-02,2.614647501711157
2023-01-03,2.617385352498289
2023-01-04,2.620123203285421
2023-01-05,2.622861054072553
2023-01-06,2.625598904859685
2023-01-09,2.6338124572210813
2023-01-10,2.6365503080082138
2023-01-11,2.639288158795346
2023-01-12,2.642026009582478
2023-01-13,2.64476386036961
2023-01-16,2.652977412731006
2023-01-17,2.6557152635181382
2023-01-18,2.6584531143052703
2023-01-19,2.6611909650924024
2023-01-20,2.6639288158795345
2023-01-23,2.6721423682409307
2023-01-24,2.674880219028063
2023-01-25,2.6776180698151952
2023-01-26,2.6803559206023273
2023-01-27,2.6830937713894594
2023-01-30,2.6913073237508556
2023-01-31,2.6940451745379876
2023-02-01,2.6967830253251197
2023-02-02,2.6995208761122518
2023-02-03,2.702258726899384
2023-02-06,2.7104722792607805
2023-02-07,2.7132101300479126
2023-02-08,2.7159479808350446
2023-02-09,2.7186858316221767
2023-02-10,2.7214236824093088
2023-02-13,2.729637234770705
2023-02-14,2.732375085557837
2023-02-15,2.735112936344969
2023-02-16,2.737850787132101
2023-02-17,2.7405886379192332
2023-02-20,2.74880219028063
2023-02-21,2.751540041067762
2023-02-22,2.754277891854894
2023-02-23,2.757015742642026
2023-02-24,2.759753593429158
2023-02-27,2.7679671457905544
2023-02-28,2.7707049965776864
2023-03-01,2.7734428473648185
2023-03-02,2.7761806981519506
2023-03-03,2.7789185489390826
2023-03-06,2.7871321013004793
2023-03-07,2.7898699520876113
2023-03-08,2.7926078028747434
2023-03-09,2.7953456536618755
2023-03-10,2.7980835044490076
2023-03-13,2.8062970568104038
2023-03-14,2.809034907597536
2023-03-15,2.811772758384668
2023-03-16,2.8145106091718
2023-03-17,2.817248459958932
2023-03-20,2.8254620123203287
2023-03-21,2.8281998631074607
2023-03-22,2.830937713894593
2023-03-23,2.833675564681725
2023-03-24,2.836413415468857
2023-03-27,2.844626967830253
2023-03-28,2.847364818617385
2023-03-29,2.8501026694045173
2023-03-30,2.8528405201916494
2023-03-31,2.855578370978782
2023-04-03,2.863791923340178
2023-04-04,2.86652977412731
2023-04-05,2.869267624914442
2023-04-06,2.8720054757015743
2023-04-07,2.8747433264887063
2023-04-10,2.8829568788501025
2023-04-11,2.8856947296372346
2023-04-12,2.8884325804243667
2023-04-13,2.891170431211499
2023-04-14,2.8939082819986313
2023-04-17,2.9021218343600275
2023-04-18,2.9048596851471595
2023-04-19,2.9075975359342916
2023-04-20,2.9103353867214237
2023-04-21,2.9130732375085557
2023-04-24,2.921286789869952
2023-04-25,2.924024640657084
2023-04-26,2.926762491444216
2023-04-27,2.9295003422313486
2023-04-28,2.9322381930184807
2023-05-01,2.940451745379877
2023-05-02,2.943189596167009
2023-05-03,2.945927446954141
2023-05-04,2.948665297741273
2023-05-05,2.951403148528405
2023-05-08,2.9596167008898013
2023-05-09,2.9623545516769334
2023-05-10,2.965092402464066
2023-05-11,2.967830253251198
2023-05-12,2.97056810403833
2023-05-15,2.9787816563997263
2023-05-16,2.9815195071868583
2023-05-17,2.9842573579739904
2023-05-18,2.9869952087611225
2023-05-19,2.9897330595482545
2023-05-22,2.9979466119096507
2023-05-23,3.0006844626967832
2023-05-24,3.0034223134839153
2023-05-25,3.0061601642710474
2023-05-26,3.0088980150581794
2023-05-29,3.0171115674195756
2023-05-30,3.0198494182067077
2023-05-31,3.02258726899384
2023-06-01,3.025325119780972
2023-06-02,3.028062970568104
2023-06-05,3.0362765229295
2023-06-06,3.0390143737166326
2023-06-07,3.0417522245037647
2023-06-08,3.0444900752908968
2023-06-09,3.047227926078029
2023-06-12,3.055441478439425
2023-06-13,3.058179329226557
2023-06-14,3.060917180013689
2023-06-15,3.0636550308008212
2023-06-16,3.0663928815879533
2023-06-19,3.07460643394935
2023-06-20,3.077344284736482
2023-06-21,3.080082135523614
2023-06-22,3.082819986310746
2023-06-23,3.0855578370978782
2023-06-26,3.0937713894592744
