indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,saldo_comercial
1951-01-01,1169.4406000000001,,,,,1480.2198,,,,,,,,,,,-310.7792
1952-01-01,687.8125,,,,,1179.3348,,,,,,,,,,,-491.5223
1953-01-01,1125.1471000000001,,,,,795.1378000000001,,,,,,,,,,,330.0093
1954-01-01,1026.6377,,,,,979.0011,,,,,,,,,,,47.6366
1955-01-01,928.5953000000001,,,,,1172.5898,,,,,,,,,,,-243.9945
1956-01-01,943.7529000000001,,,,,1127.5788,,,,,,,,,,,-183.8259
1957-01-01,974.8208000000001,,,,,1310.4426,,,,,,,,,,,-335.6218
1958-01-01,993.919,,,,,1232.633,,,,,,,,,,,-238.714
1959-01-01,1008.952,,,,,993.019,,,,,,,,,,,15.933
1960-01-01,1079.155,,,,,1249.273,,,,,,,,,,,-170.118
1961-01-01,964.116,,,,,1460.379,,,,,,,,,,,-496.263
1962-01-01,1216.028,,,,,1356.502,,,,,,,,,,,-140.474
1963-01-01,1365.086,,,,,980.677,,,,,,,,,,,384.409
1964-01-01,1410.35,,,,,1077.164,,,,,,,,,,,333.186
1965-01-01,1493.409,,,,,1198.551,,,,,,,,,,,294.858
1966-01-01,1593.242,,,,,1124.306,,,,,,,,,,,468.936
1967-01-01,1464.529,,,,,1095.542,,,,,,,,,,,368.987
1968-01-01,1367.865,,,,,1169.189,,,,,,,,,,,198.676
1969-01-01,1612.079,,,,,1576.091,,,,,,,,,,,35.988
1970-01-01,1773.167,,,,,1694.042,,,,,,,,,,,79.125
1971-01-01,1740.348,,,,,1868.067,,,,,,,,,,,-127.719
1972-01-01,1941.098,,,,,1904.682,,,,,,,,,,,36.416
1973-01-01,3266.003,,,,,2235.331,,,,,,,,,,,1030.672
1974-01-01,3930.702,,,,,3634.918,,,,,,,,,,,295.784
1975-01-01,2961.264,,,,,3946.501,,,,,,,,,,,-985.237
1976-01-01,3916.058,,,,,3033.004,,,,,,,,,,,883.054
1977-01-01,5651.842,,,,,4161.539,,,,,,,,,,,1490.303
1978-01-01,6399.54,,,,,3833.655,,,,,,,,,,,2565.885
1979-01-01,7809.924,,,,,6700.055,,,,,,,,,,,1109.869
1980-01-01,8021.418,,,,,10540.603,,,,,,,,,,,-2519.185
1981-01-01,9143.044,,,,,9430.226,,,,,,,,,,,-287.182
1982-01-01,7624.936,,,,,5336.914,,,,,,,,,,,2288.022
1983-01-01,7836.063,,,,,4504.156,,,,,,,,,,,3331.907
1984-01-01,8107.405,,,,,4584.672,,,,,,,,,,,3522.733
1985-01-01,8396.017,,,,,3814.148,,,,,,,,,,,4581.869
1986-01-01,6852.213,,,,,4724.053,,,,,,,,,,,2128.16
1987-01-01,6360.16,,,,,5817.818,,,,,,,,,,,542.342
1988-01-01,9134.812,,,,,5321.565,,,,,,,,,,,3813.247
1989-01-01,9579.271,,,,,4203.194,,,,,,,,,,,5376.077
1990-01-01,12352.532,,,,,4076.665,,,,,,,,,,,8275.867
1991-01-01,11977.785,,,,,8275.271,,,,,,,,,,,3702.514
1992-01-01,12234.948745000002,3492.526069,4837.10514,2822.626259,1081.8804340000002,14871.754168,3092.690968,4718.370362,415.80791,2670.751303,3165.2498299999997,791.78321,17.100585000000002,5763.442271,5134.178272,3974.1336249999995,-2636.805423
1993-01-01,13117.75794,3273.6355519999997,4929.601818,3678.3947470000003,1235.619404,16783.512927000003,4103.225418999999,5014.8860270000005,386.700557,2890.247565,3522.341619,844.332048,21.779691999999997,6993.472984,5401.586584,4388.453359000001,-3665.7549870000003
1994-01-01,15839.213454999997,3736.1849519999996,5805.037407,4646.346269,1651.199843,21590.255378,5998.314571999999,6175.411855,606.359929,3488.1553509999994,3902.9625570000003,1394.468099,24.583015000000003,9486.469923,6781.7717840000005,5322.013671,-5751.041923
1995-01-01,20963.108138,4816.261657,7473.3495889999995,6503.1870690000005,2169.39806,20121.682492,4730.573522999999,7111.459736,809.4723869999999,3449.080268,3225.982296,773.204439,21.909843,8179.653791,7920.932122999999,4021.0965779999997,841.4256460000004
1996-01-01,23810.716973,5817.66015,8438.814043,6464.300009,3088.592559,23761.808892,5577.591276,8271.013210000001,844.653675,4218.446903,3642.8170679999994,1198.389278,8.897482,9796.038179,9115.666885,4850.103827999999,48.908081000000266
1997-01-01,26430.854519,5704.886369999999,9104.437570999999,8333.509041000001,3286.873883,30450.183958,7698.051683,9893.370262,970.213587,5701.557143999999,4600.953851,1562.753413,23.284018,13399.608827,10863.583849,6186.991282000001,-4019.329439
1998-01-01,26433.698394000003,6603.816814000001,8761.481412000001,8624.275161,2444.125007,31377.360270999998,8494.128821,9851.304411,852.873162,5680.749009,4850.310936999999,1626.98147,21.012461000000002,14174.877829999998,10704.177572999999,6498.304868,-4943.6618770000005
1999-01-01,23308.634743000002,5145.22708,8192.359905,6965.659014999999,3005.3887429999995,25508.157376,6746.874368999999,8251.233764,730.204233,4318.943099,4486.515271,955.813927,18.572713,11065.817468000001,8981.437997,5460.901911,-2199.5226329999996
2000-01-01,26341.028985000004,5346.188856999999,7862.9668329999995,8229.989742,4901.883553,25280.485214,5900.531014,8336.518283,1034.845415,4580.210341,4610.4999339999995,797.795082,20.085145,10480.741354999998,9371.363698000001,5428.380161000001,1060.5437710000006
2001-01-01,26542.726339,6052.547674,7459.58694,8305.643587999999,4724.948136999999,20319.579185,4161.047288000001,7267.148979,841.232737,3508.614654,3994.322226,534.649547,12.563754000000001,7669.661942000001,8108.381716000001,4541.535527,6223.147154
2002-01-01,25650.598711,5272.5747759999995,8137.856803,7601.331832,4638.835300000001,8989.545353,1279.7918120000002,4345.104001,482.221918,1564.6905820000002,1134.9318,173.691453,9.113786999999999,2844.482394,4827.325919,1317.73704,16661.053357999997
2003-01-01,29938.752614999998,6471.028361000001,10004.086388,8046.864125,5416.773741,13850.774136,2449.655703,6209.213195,549.806498,2334.5001629999997,1786.375234,508.7330359999999,12.490307,4784.155866,6759.019693,2307.5985769999998,16087.978479
2004-01-01,34575.733702,6851.996689,11926.331988,9616.379169,6181.025856,22445.281394999998,5248.166923000001,8512.140588,1003.320723,3729.528761,2598.175355,1196.344287,157.604758,8977.695683999998,9515.461311,3952.1244,12130.452307
2005-01-01,40386.767091,8110.625292,13141.283054,11984.802423,7150.056321999999,28686.893443,6936.173341000001,10273.386949,1545.390918,5000.169576,3198.768845,1601.9444640000002,131.05935,11936.342916999998,11818.777867,4931.772659,11699.873648
2006-01-01,46546.202764999995,8625.368438,15264.945238,14842.898319999998,7812.990769,34153.68251,8147.963918,11855.868696,1732.151276,6354.745502000001,3907.5762349999995,2037.077867,118.299016,14502.70942,13588.019972,6062.953118,12392.520254999998
2007-01-01,55980.30858564,12485.571992600004,19213.072822669998,17332.7857249,6948.878045469999,44707.46339572,10516.33132885,15371.27188685,2844.59150211,8065.13162705,5087.26536782,2708.53333985,114.33834318999999,18581.4629559,18215.863388960002,7910.137050860001,11272.84518992
2008-01-01,70018.83943213,16201.717915360001,23905.996502960006,22063.367956840008,7847.75705697,57462.45235695,12775.554870799999,20225.96625702,4333.25711265,9958.62741829,6184.594596409999,3873.6320177400003,110.82008404,22734.18228909,24559.22336967,10169.046698189999,12556.387075180008
2009-01-01,55672.096636129994,9256.97793357,21224.821985879997,18733.69213114,6456.604585539999,38786.269340549996,8738.6369662,12560.79873282,2626.19138315,7229.5791577,4987.80550385,2512.2427174100003,131.01487942,15968.2161239,15186.99011597,7631.0631006799995,16885.82729558
2010-01-01,68174.44704942,15148.56651202,22671.101519969998,23829.61711948,6525.161897949999,56792.57807235,11737.64569168,17687.35416944,4765.21773911,11458.71430259,6520.28519395,4481.67252975,141.68844583,23196.359994270002,22452.57190855,11143.646169529999,11381.868977069995
2011-01-01,82981.09128192,19833.32477408,27675.822084990003,28790.2646093,6681.679813549999,73960.67570893999,13663.12097113,21793.32279146,9796.20148005,14919.217913420001,7987.51600908,5592.170510440001,209.12603336,28582.33888455,31589.524271510003,13788.812552880001,9020.415572979997
2012-01-01,79982.38788821001,19038.035010260006,26783.657643598875,27182.67880780379,6978.01644778,67974.21452953,11788.098629472132,19821.204521128137,9128.33549381,14395.8405812698,7179.136613244029,5358.621604940612,302.9771250330074,26183.939210741937,28949.540014938142,12840.735343217648,12008.173358680007
2013-01-01,75962.98136107001,17764.487678420002,27002.1748185603,25634.744406200738,5561.57448333,74441.80009481,11772.646035408483,19514.227624469975,12464.062249809998,15958.482908854465,7440.010744718091,7063.195197544983,229.30975940261342,27731.12894426295,31978.289874279973,14732.515701665689,1521.1812662599978
2014-01-01,68405.0,14217.49301125958,26420.42417103514,22823.824442379842,4942.604989135476,65735.0,11977.305285599488,18765.640170188773,11420.19879518007,13141.905511926625,6684.989919677654,3573.8185397655398,249.16059325139915,25119.210797526117,30185.838965368843,10507.969052694592,2670.0
2015-01-01,56784.0,13301.01364544978,23287.74641665454,17949.56946005769,2245.6229922042926,60205.0,12033.658670459117,18103.878616638987,6951.536664271733,12761.49088114397,6820.222605291757,3353.38413196662,276.36385455972277,24795.14955160309,25055.41528091072,10449.970591818099,-3421.0
2016-01-01,57879.0,15690.35079921928,23349.466586178125,16804.713808012617,2034.7114965006108,55911.0,12123.0,15482.0,4914.0,11309.0,7401.0,4469.0,214.25039721392258,23432.0,20396.0,12084.250397213922,1968.0
2017-01-01,58621.0,14814.0,22562.0,18768.0,2477.0,66930.0,14906.0,17835.0,5715.0,12918.0,8952.0,6295.0,298.0,27824.0,23557.0,15546.0,-8308.0
2018-01-01,61781.0,14022.0,22944.0,20618.0,4200.0,65482.0,12238.0,20450.0,6555.0,12171.0,8487.0,5275.0,308.0,24409.0,27005.0,14070.0,-3701.0
2019-01-01,65116.0,17521.0,23962.0,19213.0,4421.0,49124.0,8478.0,17133.0,4447.0,10123.0,6312.0,2363.0,269.0,18601.0,21580.0,8944.0,15992.0
2020-01-01,54884.0,16206.0,21785.0,13299.0,3593.0,42354.0,7375.0,16765.0,2640.0,7592.0,6015.0,1613.0,355.0,14967.0,19405.0,7983.0,12530.0
2021-01-01,77935.0,21808.0,30927.0,19914.0,5284.0,63185.0,10182.0,25760.0,5842.0,11889.0,7237.0,1691.0,585.0,22071.0,31602.0,9513.0,14750.0
2022-01-01,88445.0,23829.0,33055.0,23050.0,8509.0,81522.0,12454.0,30012.0,12868.0,15036.0,8569.0,1996.0,591.0,27490.0,42880.0,11156.0,6923.0
2023-01-01,66788.51598625001,14412.41228776,23821.95304643,20643.49303014,7910.657621920001,73713.61676947,11050.016380060002,28494.413617159997,7924.021953520001,15966.271193569999,7939.90219,1849.2590581099998,489.73237705,27016.28757363,36418.43557068,10278.893625159999,-6925.100783220001
2024-01-01,79703.20672224999,18276.634780390003,29655.52106404,22053.967756359998,9717.08312146,60775.5715694,9960.986372340001,23032.77791805,3987.0877392099997,13224.93783624,7404.40770433,2872.89110217,292.48289706,23185.92420858,27019.86565726,10569.78170356,18927.635152849998
2025-01-01,87111.19681803,22151.76442576,30464.10672908,23395.16254836,11100.16311483,75791.11923134,15072.621582480002,24300.34298724,3271.1000112499996,15112.54928945,11401.36722027,5677.886430300001,955.2517103499999,30185.170871930004,27571.44299849,18034.505360920004,11320.07758669
