fecha,pbi,impo,oferta_global,demanda_global,consumo_priv,consumo_pub,expo,fbkf,var_existencias,objetos_valiosos,discrepancia
2016-12-01,8963807.87358243,1219922.400746575,10183730.274329005,10183730.274329005,5646415.407854648,1739026.4631563313,1094432.4011464845,1254781.4821189188,449074.5200526208,0.0,
2017-03-01,9240877.73099836,1286988.342589411,10527866.073587772,10527866.073587772,6452494.8674846385,1603692.4033928665,1036964.9424448053,1376574.1514435573,58139.70882190415,0.0,
2017-06-01,10558208.304643149,1391389.2309320145,11949597.535575163,11949597.53557516,7222060.25329695,1830346.0750884414,1180972.268356308,1515425.7851115854,200793.1537218766,0.0,
2017-09-01,11116422.3178693,1637892.4601677018,12754314.778037002,12754314.778037,7389754.589204414,1901772.384216524,1317088.8434907189,1746003.5877648164,399695.373360528,0.0,
2017-12-01,11725405.625723016,1640374.7434781096,13365780.369201126,13365780.369201126,7394054.340092132,2210306.45177919,1292046.2353310343,1827296.604023722,642076.7379750484,0.0,
2018-03-01,12457790.347179031,1919892.5593279414,14377682.906506972,14377682.906506974,8985619.31447233,1930980.5490368265,1478729.346105644,2044366.8432120709,-62013.146319899155,0.0,
2018-06-01,14431394.012697566,2215778.5591385653,16647172.571836133,16647172.571836129,10330546.935142642,2229720.342227144,1751921.0788386983,2168235.660842741,166748.55478490356,0.0,
2018-09-01,15276275.65339034,2796099.7108324175,18072375.364222758,18072375.36422276,10818287.266995337,2269535.2994457465,2390075.081133471,2381084.7827953203,213392.93385288605,0.0,
2018-12-01,16813782.695796333,2697091.987566159,19510874.68336249,19510874.683362495,10838533.902790979,2891490.421296306,2893922.4216014976,2401266.213355207,485661.72431850847,0.0,
2019-03-01,17484108.85697476,2691262.981426089,20175371.83840085,20175371.838400852,12506829.117932249,2915482.66024309,2815654.9440515246,2496183.2312483937,-558778.1150744059,0.0,
2019-06-01,21233558.154751204,2995331.613563232,24228889.768314436,24228889.768314436,14726541.986568943,3465044.413600717,3503605.471509656,2955278.3386972123,-421580.44206209073,0.0,
2019-09-01,22303884.00877951,3496149.7229280677,25800033.73170758,25800033.73170758,14448983.823249834,3514717.5114464457,4137684.1662638434,3413087.2481312547,288661.30781486165,-3100.3251986613363,
2019-12-01,25212225.57629694,3498567.787183767,28710793.36348071,28710793.363480702,15341960.115295788,4284383.629432993,5000354.993609575,3379824.911147267,728359.3360559256,-24089.622060845264,
2020-03-01,24999988.08261283,3461376.5819446747,28461364.664557505,28461364.6645575,17610147.710211862,4127506.9648787244,4184145.2669444666,3293519.102943221,-753954.3804207738,0.0,
2020-06-01,24025361.939099036,2995487.7931514946,27020849.73225053,27020849.732250538,16394879.795357706,4383620.502141748,4354106.259686406,2507043.1480245627,-618799.9729598867,0.0,
2020-09-01,27536379.505392455,3800934.88599102,31337314.391383477,31337314.391383484,17443145.176056884,4424148.497868087,4797446.063837671,4292822.410427604,379752.2431932371,0.0,
2020-12-01,32277527.046046086,4542472.354008877,36819999.40005496,36819999.40005497,20064341.742085136,5429179.83298732,4737512.033984543,5451588.005554233,1137377.7854437362,0.0,
2021-03-01,36785109.793720186,5256379.821074096,42041489.614794284,42041489.61479429,24629078.749412492,5526241.684839807,6168401.88670645,6580569.9853003,-862802.6914647594,0.0,
2021-06-01,46340281.47592878,6660763.093352186,53001044.56928097,53001044.56928095,29481554.959085483,6827446.058460926,8345420.448675091,7571047.895175321,775575.2078841329,0.0,
2021-09-01,47462528.98909955,7659365.95675115,55121894.9458507,55121894.945850715,28914823.00348736,7431638.791628803,9839665.746969817,8424274.202336362,511493.2014283687,0.0,
2021-12-01,54288413.782466695,8177090.156329742,62465503.93879644,62465503.93879644,33360045.12800109,9639254.209667338,9047581.511186296,9390395.55500432,1028227.5349373966,0.0,
2022-03-01,60345325.42659544,9287878.588775223,69633204.01537067,69633204.0153707,41374961.8877453,9533137.859489877,9677450.654993432,10196014.280278394,-1148360.6671363187,0.0,
2022-06-01,78676963.28324091,12825227.927169474,91502191.21041039,91502191.21041039,53232611.0607964,11716348.08460471,13453007.856611095,13363610.183209602,-263385.9748114228,0.0,
2022-09-01,87863363.94194473,14911645.786693623,102775009.72863835,102775009.72863838,56507068.8443514,13013837.190660568,14359810.14752126,16780392.4824259,2113901.0636792453,0.0,
2022-12-01,104354529.22768565,13650065.13190212,118004594.35958776,118004594.35958774,67267533.8043436,17750027.65858255,16441157.127276713,18017183.333059296,-1471307.5636744136,0.0,
2023-03-01,120719556.7726799,17542568.018016867,138262124.79069677,138262124.79069674,83557340.57753618,20032621.014004163,15575206.535784867,21529317.292198453,-5462210.350822116,0.0,3029849.7219952047
2023-06-01,159215855.41502434,23446189.878966473,182662045.29399082,182662045.2939908,113430107.75607781,26964465.93464415,19908865.285950907,29249759.610621408,-4638808.394786131,0.0,-2252344.89851737
2023-09-01,206516399.84174532,30709973.089702476,237226372.9314478,237226372.93144777,130115456.2313514,32551924.873115785,27121928.51253241,40251839.753881186,6747995.65816839,0.0,437227.9023986161
2023-12-01,283181180.08567715,34931142.86660301,318112322.95228016,318112322.9522802,178047228.52627367,45913193.63338349,36078743.90919932,51297535.718226984,10196863.625550939,0.0,-3421242.4603541493
2024-03-01,423472034.40718853,59718717.959389836,483190752.36657834,483190752.3665782,288577443.1147447,61557337.52342702,72129261.23447512,66281569.51544495,-19784190.211311728,0.0,14429331.189798117
2024-06-01,559938388.8647271,66666515.12548459,626604903.9902117,626604903.9902116,386878716.37753373,85774773.2932896,87192592.74261743,82741628.46278481,-10095183.288646443,0.0,-5887623.597367406
2024-09-01,642862095.294979,81552098.14740482,724414193.4423838,724414193.4423838,413073118.0487323,91173871.12112641,95402212.22911495,108254077.50511675,14889304.935808677,0.0,1621609.602484703
2024-12-01,709365943.3672845,88221912.00818525,797587855.3754698,797587855.3754698,468989052.135772,109895733.97825521,101454927.27722913,114172544.18271473,13454002.78657307,0.0,-10378404.985074282
2025-03-01,723984891.7741555,109003168.65590063,832988060.4300561,832988060.4300559,544305854.4538221,107522355.8345831,98589127.16707851,116962849.9066519,-20877989.899087075,0.0,-13514137.032992601
2025-06-01,833779385.5021062,115278073.26362522,949057458.7657315,949057458.7657313,605261446.1824864,127987107.5809924,116048801.12196814,134939480.87030986,-14302582.155746507,0.0,-20876794.83427894
2025-09-01,893277009.9832231,140556917.16767412,1033833927.1508973,1033833927.1508975,587560931.0718544,127196128.53117019,150245581.0207709,147671984.3326195,25784648.526360612,0.0,-4625346.331878066
2025-12-01,939450203.4897723,137258795.5399614,1076708999.0297337,1076708999.0297337,635628286.9440632,143403458.17352548,162529857.35646015,142905501.6028106,13245953.20136209,0.0,-21004058.24848795
