Date,Country,Indice de Confianza del Consumidor (ICC) - Nacional,Indice de Confianza del Consumidor (ICC) - Capital,Indice de Confianza del Consumidor (ICC) - Interior,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires,Indice de Confianza del Consumidor (ICC) - Situación Personal,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo,Indice de Confianza en el Gobierno (ICG) - Nivel General,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_3m_yoy,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_yoy,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_mom,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_mom
2002-11-01,Argentina,39.17,40.19,38.83,39.08,38.94,59.22,19.37,51.31,67.14,0.722,-27.66958779617007,6.675124426661472,31.549834054108405,17.28350266086114,4.6295339464710095,4.074367088607578,4.783484390735127,22.635951661631417,1.260342505291523,,-13.177947108919753,15.190599025508744,45.271800679501695,14.965753424657535,12.202124605225384,15.910447761194035,14.03202328966522,26.37644046094749,14.901150781941563,,30.349932705249,5.651945320715024,11.470779926135124,-2.906724511930592,6.340136054421763,9.906594961788851,7.491767288693762,2.83035249175203,5.557061534291119,41.56862745098038
2002-12-01,Argentina,37.06,40.28,37.58,35.5,38.25,58.96,13.98,50.2,67.72,0.704,-16.039707419017745,15.428070517190973,46.383569798591154,20.005882352941185,18.511816052799656,11.795897948974488,15.452402910134232,29.815361890694227,14.091409140914092,,-17.081850533807817,13.721061547148494,46.355685131195344,18.80701754385965,24.91203377902884,14.608112229338222,18.82013465854442,29.156626506024107,23.18840579710144,,-27.826535880227155,0.2239363025628327,-2.1633209900604133,0.8638665475126484,-9.16069600818833,-3.2191604429564813,-5.386775593566506,-0.4390408645727706,-1.7719568567026167,-2.4930747922437657
2003-01-01,Argentina,41.51,43.44,40.63,41.44,42.72,65.8,16.0,59.91,71.7,0.908,5.201449584310391,17.272383115654,33.03115213449812,12.954557882648876,15.86936981923499,21.23472135902216,18.05875864835056,20.951942673065528,19.682603054197024,,106.71834625322995,22.88543140028288,15.835266821345703,6.269453090262345,12.364425162689784,34.31404958677686,21.409768938286057,10.402684563758392,21.19148936170212,-33.235294117647065,14.449213161659502,7.845084409136049,19.342629482071704,5.87714116952156,16.732394366197177,8.116019159127209,12.007555315704256,11.601085481682482,11.68627450980393,28.97727272727273
2003-02-01,Argentina,39.5,44.97,39.17,38.06,41.23,59.77,17.49,53.11,66.43,0.832,42.38152369526092,25.245742092457423,30.70147341447791,9.128982664475435,20.988953182535507,23.936226375250747,22.733887733887737,17.714978310793583,24.03572878603326,,100.1144164759725,40.61913696060038,36.67009778692743,3.5380299251870584,27.932773109243712,23.681717713924844,28.16353017521089,16.035721219180754,27.963997517070126,-15.618661257606492,9.31249999999999,3.5220994475138045,-11.350358871640786,-7.35006973500697,-8.156370656370648,-3.593403888752156,-4.842206697181394,-9.164133738601809,-3.487827715355807,-8.370044052863445
2003-03-01,Argentina,38.36,40.39,38.76,37.53,41.88,59.08,14.13,52.84,65.32,0.89,47.93414103758933,29.747154225848703,26.765515132986884,4.194407456724369,17.653563888609636,24.852569502948608,22.092666462104948,13.24747010119598,28.25400061155847,-18.119551681195524,-10.057288351368554,26.45585472761427,31.24689518132142,2.6559798837026305,14.28136419001218,17.312348668280862,17.0940170940171,13.74663072776281,36.68407310704962,2.771362586605086,-19.21097770154373,-10.184567489437402,-0.5083788363773212,-1.67093180791813,-1.3925380977404145,-1.04671942813378,-2.886075949367095,-1.1544252969717284,1.5765219500363914,6.971153846153855
2003-04-01,Argentina,40.13,43.44,38.56,40.04,43.24,60.72,16.43,53.59,67.86,0.846,31.176631176631187,32.29252259654891,37.62939958592138,6.9262909792157545,24.655023717119427,24.922252010723888,25.936599423631137,18.69257716967412,35.58321708337806,-2.653525398028811,34.89326765188834,29.904306220095695,45.62500000000003,15.231788079470189,32.71461716937354,35.108619481429585,33.277980737296595,26.92307692307692,42.56511704582924,7.6335877862595325,16.277423920736013,7.551374102500619,1.4193792581377762,3.88854868340478,6.687982946975746,-0.5159958720330149,4.6141814389989655,2.775897088693302,3.247373447946522,-4.943820224719109
2003-05-01,Argentina,44.52,47.18,43.63,44.23,47.5,69.69,16.37,66.43,72.94,1.22,20.11773739442029,35.5229130029999,56.590270857867566,10.841041084104086,33.581925860934426,32.12803146165611,33.40201713480102,27.89551835853128,48.278175313059045,39.30254476908577,46.42218246869412,50.782997762863545,99.30993099309934,14.974779319041607,57.011004614838455,45.62750333778372,51.73824130879348,44.04712691194708,66.84229012996137,159.5744680851064,-0.3651856360316396,8.609576427255995,23.959693972756124,7.48600058944886,10.464535464535452,13.148340248962654,10.939446797906792,14.77272727272727,9.85198889916743,44.20803782505911
2003-06-01,Argentina,54.42,54.67,55.14,53.93,60.09,84.34,18.83,85.88,82.8,3.14,39.6537733297268,53.421330517423456,88.63948694457171,18.250568512348583,48.21964821964819,58.48817080207731,52.74025260845689,44.021192408289146,73.14889220525774,199.19540229885052,38.35415135929463,82.41574908241576,120.09226037929264,24.02636309167165,54.5272206303725,95.87921847246892,72.21518987341773,59.46303649083002,112.25715294948785,548.7603305785125,15.027489309712871,15.875370919881316,29.27894023784432,13.51795996709624,21.93081618810764,26.38093055237221,22.237196765498645,21.02166738412972,26.505263157894746,157.37704918032787
2003-07-01,Argentina,53.87,57.42,53.65,52.93,58.22,82.37,20.94,82.19,82.54,3.26,64.2961662276851,69.27409926665958,106.29893551508754,20.33735669915661,60.47796070100902,68.90514184397163,64.86136584313304,51.694045174538,88.20658342792285,459.4713656387665,123.24093816631128,74.9010051781907,98.91093901258468,21.7224598141867,70.30244530244532,66.97790227201989,69.66929133858267,50.943741982774426,85.88761174968072,699.0196078431372,11.2055231014339,5.030181086519114,-4.296693060083834,-0.3140096618357346,-1.854255516410164,-2.702212549873051,-1.0106578463800142,-2.335783732511265,-3.1119986686636736,3.821656050955413
2003-08-01,Argentina,54.8,52.33,55.04,55.4,59.09,79.97,25.34,78.61,81.32,3.2,86.08173763932552,70.29518384256865,100.78137717727492,22.54570747217805,65.97790507364975,73.7696224013577,69.40895398358782,52.20583698401926,93.30936035741529,688.1773399014778,111.16666666666669,55.05185185185184,84.87770460959547,21.900764503073013,74.32347388294525,61.88235294117648,66.46415552855404,46.438381248855535,83.85189794648413,881.5950920245399,21.012416427889203,-8.864507140369216,-4.355761041489226,-1.4780712381875616,4.6665407141507576,2.5908667287977583,1.7263783181733716,-2.913682165837084,1.494331844726915,-1.8404907975460016
