fecha,sector,tramo,valor
2018-06-01,otros_sectores,mas_2y,20397.272
2018-06-01,otros_sectores,pago_inmediato,13844.648
2018-06-01,total,m0a3,23173.44
2018-06-01,total,m12a18,10088.392
2018-06-01,total,m18a24,13613.348
2018-06-01,total,m3a6,13704.491
2018-06-01,total,m6a9,7794.041
2018-06-01,total,m9a12,27213.102
2018-06-01,total,mas_2y,227924.219
2018-06-01,total,pago_inmediato,29770.903
2018-09-01,bancos,m0a3,1965.114
2018-09-01,bancos,m12a18,107.299
2018-09-01,bancos,m18a24,65.731
2018-09-01,bancos,m3a6,578.884
2018-09-01,bancos,m6a9,260.67
2018-09-01,bancos,m9a12,99.905
2018-09-01,bancos,mas_2y,2026.313
2018-09-01,bancos,pago_inmediato,672.824
2018-09-01,bcra,m0a3,1625.301
2018-09-01,bcra,m12a18,11.678
2018-09-01,bcra,m18a24,11.678
2018-09-01,bcra,m3a6,21.989
2018-09-01,bcra,m6a9,21.989
2018-09-01,bcra,m9a12,12712.989
2018-09-01,bcra,mas_2y,2354.401
2018-09-01,bcra,pago_inmediato,0.0
2018-09-01,gobierno,m0a3,8782.587
2018-09-01,gobierno,m12a18,3106.885
2018-09-01,gobierno,m18a24,5029.714
2018-09-01,gobierno,m3a6,8688.462
2018-09-01,gobierno,m6a9,12128.29
2018-09-01,gobierno,m9a12,4353.586
2018-09-01,gobierno,mas_2y,199777.237
2018-09-01,gobierno,pago_inmediato,3143.099
2018-09-01,inversion_directa,m0a3,4426.553
2018-09-01,inversion_directa,m12a18,307.063
2018-09-01,inversion_directa,m18a24,202.152
2018-09-01,inversion_directa,m3a6,1206.324
2018-09-01,inversion_directa,m6a9,685.983
2018-09-01,inversion_directa,m9a12,429.852
2018-09-01,inversion_directa,mas_2y,3887.334
2018-09-01,inversion_directa,pago_inmediato,11803.345
2018-09-01,no_financieras,m0a3,8021.356
2018-09-01,no_financieras,m12a18,2535.824
2018-09-01,no_financieras,m18a24,1284.728
2018-09-01,no_financieras,m3a6,1868.242
2018-09-01,no_financieras,m6a9,1186.507
2018-09-01,no_financieras,m9a12,758.391
2018-09-01,no_financieras,mas_2y,18299.986
2018-09-01,no_financieras,pago_inmediato,13632.84
2018-09-01,otras_financieras,m0a3,830.029
2018-09-01,otras_financieras,m12a18,18.726
2018-09-01,otras_financieras,m18a24,24.304
2018-09-01,otras_financieras,m3a6,35.716
2018-09-01,otras_financieras,m6a9,42.106
2018-09-01,otras_financieras,m9a12,9.924
2018-09-01,otras_financieras,mas_2y,2362.638
2018-09-01,otras_financieras,pago_inmediato,387.1
2018-09-01,otros_sectores,m0a3,8851.385
2018-09-01,otros_sectores,m12a18,2554.55
2018-09-01,otros_sectores,m18a24,1309.033
2018-09-01,otros_sectores,m3a6,1903.958
2018-09-01,otros_sectores,m6a9,1228.613
2018-09-01,otros_sectores,m9a12,768.315
2018-09-01,otros_sectores,mas_2y,20662.625
2018-09-01,otros_sectores,pago_inmediato,14019.94
2018-09-01,total,m0a3,25650.94
2018-09-01,total,m12a18,6087.475
2018-09-01,total,m18a24,6618.306
2018-09-01,total,m3a6,12399.616
2018-09-01,total,m6a9,14325.545
2018-09-01,total,m9a12,18364.647
2018-09-01,total,mas_2y,228707.91
2018-09-01,total,pago_inmediato,29639.208
2018-12-01,bancos,m0a3,1918.58
2018-12-01,bancos,m12a18,104.758
2018-12-01,bancos,m18a24,64.174
2018-12-01,bancos,m3a6,565.176
2018-12-01,bancos,m6a9,254.497
2018-12-01,bancos,m9a12,97.539
2018-12-01,bancos,mas_2y,1978.33
2018-12-01,bancos,pago_inmediato,656.891
2018-12-01,bcra,m0a3,6.671
2018-12-01,bcra,m12a18,13.342
2018-12-01,bcra,m18a24,13.342
2018-12-01,bcra,m3a6,6.671
2018-12-01,bcra,m6a9,6.671
2018-12-01,bcra,m9a12,21406.14
2018-12-01,bcra,mas_2y,2346.875
2018-12-01,bcra,pago_inmediato,0.0
2018-12-01,gobierno,m0a3,6754.209
2018-12-01,gobierno,m12a18,13514.81
2018-12-01,gobierno,m18a24,4639.506
2018-12-01,gobierno,m3a6,15349.553
2018-12-01,gobierno,m6a9,3053.053
2018-12-01,gobierno,m9a12,2675.202
2018-12-01,gobierno,mas_2y,211496.339
2018-12-01,gobierno,pago_inmediato,3179.0
2018-12-01,inversion_directa,m0a3,4578.305
2018-12-01,inversion_directa,m12a18,317.589
2018-12-01,inversion_directa,m18a24,209.082
2018-12-01,inversion_directa,m3a6,1247.68
2018-12-01,inversion_directa,m6a9,709.5
