fecha,expo_valor,expo_precios,expo_cantidades,impo_valor,impo_precios,impo_cantidades,ti_nominal,ti_base100,ti_anual_b100
2014-01-01,148.3803900982,188.9204986592,78.458135815975,301.9945780641,138.89624528800002,217.08328723533,136.0155548247364,131.685214239059,132.550251
2014-02-01,161.30613621400002,191.9944093584,83.9536549594257,296.0508935438,138.2046840774,214.08551155934,138.92033445905182,134.4975141186939,
2014-03-01,170.51115025849998,186.5125932467,91.3882092245993,288.1616770237,145.1172765624,198.531201205329,128.52542279244065,124.43354627635684,
2014-04-01,224.8463275641,193.73827707260003,116.032313007302,302.3961988358,143.6247204273,210.48580752865,134.89201336385997,130.59744307808683,
2014-05-01,249.1406672665,194.102176708,128.343383789915,308.853472547,140.185019394,220.260950388329,138.46142586923784,134.0532158467524,
2014-06-01,250.01487600380003,197.7718810025,126.424303202783,312.6421025648,146.92239649,212.753242083021,134.6097570740081,130.32417300947327,
2014-07-01,222.7081130882,188.5088968913,118.163155899066,328.5368845056,144.7799012472,226.933845637775,130.20377501807815,126.0584646372492,
2014-08-01,222.8136855849,182.8904349885,121.844486283939,301.7679115088,138.7643790373,217.522838696307,131.79926740373256,127.60316117502693,
2014-09-01,197.3140697026,182.7978316795,107.992357816996,301.7518695635,136.82712692479998,220.643315665918,133.5976540528878,129.34429241169929,
2014-10-01,201.0903069319,174.911813057,115.017066262933,293.7426276611,137.4944095139,213.798631103715,127.21376358165114,123.16364648876257,
2014-11-01,169.6862526278,172.84259046030002,98.2255931739668,248.6574253045,136.1345860054,182.810630369924,126.96449560102523,122.92231447733226,
2014-12-01,156.2581354911,172.911766946,90.3573405630999,229.9150048809,135.5071060782,169.790738526361,127.6034681503818,123.54094399484087,
2015-01-01,131.7450045009,171.3410138469,76.7813835642652,233.2448420689,127.0883916918,183.590506699411,134.8203494953468,130.5280607791982,126.303201
2015-02-01,134.3734266495,166.39842634080003,80.5960764868512,218.3711304722,129.83963049980002,168.200306802487,128.15688530556648,124.07674195366974,
2015-03-01,152.0648081959,162.005644644,93.7225399488836,270.4615411218,129.8563630928,208.309186498101,124.7575712005926,120.78565214591836,
2015-04-01,178.9210280121,158.3711592572,112.922991286134,263.73203714640005,127.4916294803,206.917508278141,124.22082916562888,120.26599841986926,
2015-05-01,180.6644223357,155.7420757477,116.015876316696,267.47200518190004,130.23862582089998,205.423947991397,119.58209384201544,115.7749469686184,
2015-06-01,209.8514680126,157.23277197529998,133.461132397171,305.11890564730004,129.4991017536,235.658543730463,121.41611010898691,117.55057347946313,
2015-07-01,193.2763663449,155.0545084062,124.626794546779,310.1183088336,128.271877878,241.761505575626,120.87958091147075,117.03112581473488,
2015-08-01,178.24261088650002,155.35286891549998,114.719969173539,299.65928391590006,123.9230005124,241.760919202764,125.36241720515396,121.37124160879212,
2015-09-01,179.1546325504,156.26143607019998,114.653236279682,293.35817865160004,118.3077852794,247.87757522161,132.0804338456402,127.87537609329236,
2015-10-01,174.67593684460002,150.7560283571,115.910340557437,270.41770742010004,116.1276276212,232.738910517246,129.81926131209306,125.68619273190905,
2015-11-01,138.7780998428,150.42518182330002,92.3534214302954,251.2545677491,115.4095794779,217.566531959675,130.34029107792148,126.19063442187937,
