indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,ica_saldo_comercial
1999-07-01,1940.966322,447.740931,681.99284,566.612445,244.620106,2278.15093,574.307363,695.61302,102.919758,408.180822,367.049514,128.443903,1.63655,982.4881849999999,798.532778,497.129967,-337.1846079999998
1999-08-01,2098.959408,390.381966,814.819321,622.656482,271.101639,2330.824814,628.558155,744.683133,70.751926,401.88976,395.131371,87.648349,2.16212,1030.4479150000002,815.435059,484.94184,-231.8654059999999
1999-09-01,1897.670763,303.723443,710.020878,610.410561,273.515881,2233.969426,655.132898,678.099892,57.911661,372.409873,406.439242,62.690244,1.285616,1027.542771,736.0115529999999,470.415102,-336.29866300000003
1999-10-01,1900.922454,260.720649,702.723397,619.109128,318.36928,2213.08487,536.788931,727.601552,58.689132,399.949164,420.879977,67.563609,1.612505,936.738095,786.2906839999999,490.056091,-312.1624160000001
1999-11-01,1965.448523,260.220986,719.77341,633.812629,351.641498,2290.06047,554.779468,747.694118,51.243795,401.857088,456.928605,75.940693,1.616703,956.6365559999999,798.937913,534.486001,-324.6119469999999
1999-12-01,2055.807683,326.803687,664.93253,689.45875,374.612716,2305.283163,600.464119,734.093644,51.568724,408.098809,410.770588,98.606727,1.680552,1008.562928,785.662368,511.05786699999993,-249.47548000000006
2000-01-01,1768.244543,379.492374,574.73659,478.589951,335.425628,1852.193641,488.624354,659.775998,50.53473,316.720808,299.939471,34.991635,1.606645,805.345162,710.3107279999999,336.537751,-83.94909800000005
2000-02-01,1783.322687,371.756283,540.927437,527.293454,343.345513,1907.761751,433.843379,656.75668,106.281019,339.950682,316.927235,52.375584,1.627172,773.794061,763.037699,370.929991,-124.43906399999992
2000-03-01,2160.647313,541.383917,578.468638,639.889393,400.905365,2116.315833,470.33462,730.192467,72.436187,400.74755,385.701668,55.279563,1.623778,871.0821699999999,802.628654,442.605009,44.33147999999983
2000-04-01,2324.368432,654.577308,654.224361,642.136052,373.430711,1905.387148,411.472304,633.866762,92.404013,362.617782,345.687041,57.580764,1.758482,774.0900859999999,726.270775,405.026287,418.9812840000002
