fecha,fbkf_total,construcciones,otras_construcciones,maq_equipo,maq_nacional,maq_importado,eq_transporte,transp_nacional,transp_importado,otros_activos
2018-09-01,2381084.7827953203,1162287.7790801441,240487.47306309355,747382.1660191105,377541.13772490673,369841.0282942038,202230.26460213863,134838.56571784188,67391.69888429675,28697.100030833422
2018-12-01,2401266.213355207,1143081.8091692792,266920.9582815659,766480.6028121056,404863.9788765998,361616.62393550575,198579.34290193167,151928.10854595716,46651.23435597449,26203.500190324405
2019-03-01,2496183.2312483937,1219534.9148654826,316815.52290954784,745710.4976054635,401621.4696525392,344089.02795292437,189800.5290371155,143130.08998360112,46670.4390535144,24321.766830783792
2019-06-01,2955278.3386972123,1443830.3535051155,375083.8642359459,882860.7022611832,475487.22175587004,407373.4805053131,224708.4208862882,169454.40913517136,55254.011751116836,28794.99780867937
2019-09-01,3413087.2481312547,1667497.4074305117,433188.96133751486,1019626.6677514394,549146.0320247664,470480.635726673,259518.51500146638,195704.9782369507,63813.53676451567,33255.69661032203
2019-12-01,3379824.911147267,1651246.7649319214,428967.3062310886,1009689.8676186044,543794.3140513604,465895.5535672441,256989.37007430725,193797.72991239483,63191.640161912415,32931.602291345735
2020-03-01,3293519.102943221,1532279.4280823788,420718.7696676466,1044576.3956294974,596388.7101327557,448187.6854967417,251017.22311245435,189799.97050199407,61217.25261046028,44927.28645124446
2020-06-01,2507043.1480245627,1091083.7364682276,130512.50257479679,990716.5008304634,566313.5736644593,424402.927166004,253586.22837927347,205754.92975372006,47831.298625553405,41144.179771802155
2020-09-01,4292822.410427604,2015094.238815223,325598.9543441328,1453561.9619658045,894639.0353266366,558922.9266391677,436539.9513929046,322985.1477631235,113554.80362978112,62027.30390953898
2020-12-01,5451588.005554233,2681024.1766219037,429853.496199288,1729289.956041833,1024222.3916417189,705067.564400114,541511.0727219095,454293.1529790343,87217.91974287518,69909.30396929814
2021-03-01,6580569.9853003,2902296.7464559157,641636.1662170686,2288231.3222307824,1427717.3794456876,860513.942785095,670102.448018377,542295.4730174011,127806.97500097586,78303.30237815586
2021-06-01,7571047.895175321,3257186.9705738444,676175.4209545755,2624695.03022926,1665858.8344582336,958836.1957710269,865634.7077123628,746565.3509029183,119069.35680944449,147355.76570527809
2021-09-01,8424274.202336362,3852048.7898215745,876297.6161000686,2764036.7739786836,1725676.3282477353,1038360.4457309482,790152.1922436105,662299.3439318691,127852.84831174137,141738.83019242593
2021-12-01,9390395.55500432,4172486.959319021,1148386.2545579327,2954448.3613144043,1713954.8127024241,1240493.5486119802,976554.7907976024,868397.9317523768,108156.85904522553,138519.18901535898
2022-03-01,10196014.280278394,4794781.34895254,1142878.9821616507,3209294.7753238203,1787634.6070210987,1421660.1683027218,962176.2359880236,821294.4484818464,140881.78750617724,86882.93785236117
2022-06-01,13363610.183209602,5562274.56903437,1508242.1498198851,4485935.100201663,2864289.411662203,1621645.6885394594,1563928.6003084322,1353219.6532507346,210708.94705769772,243229.7638452491
2022-09-01,16780392.4824259,7259247.245708386,1365074.3034203115,5504307.318279846,3569064.7315500076,1935242.5867298378,1807432.4310748265,1615194.919976347,192237.51109847962,844331.183942528
2022-12-01,18017183.333059296,7862179.629376102,1600952.3711267458,5981747.465927869,3812904.327027494,2168843.1389003745,2266133.728268718,2050505.216443176,215628.5118255419,306170.1383598615
2023-03-01,21529317.292198453,9947230.82634869,2855893.326179119,6133989.447290584,3937844.2946290537,2196145.1526615303,2420896.95952792,2199200.4452857473,221696.51424217247,171306.73285213983
2023-06-01,29249759.610621408,11923951.392260442,3594161.505579427,9143239.878850758,6265584.471635225,2877655.407215533,4097329.6226839535,3710239.0883658514,387090.5343181019,491077.21124682773
2023-09-01,40251839.753881186,16990688.42857962,3470394.641651923,12691121.53908846,8373152.777797945,4317968.761290515,5656499.132284442,5152983.460197683,503515.67208675854,1443136.012276745
2023-12-01,51297535.718226984,22441667.545660257,4880445.091895564,15661188.636203863,11324916.869560337,4336271.766643526,7374816.4557968555,6879743.623629366,495072.83216748986,939417.988670447
2024-03-01,66281569.51544495,27301810.082925793,11570032.45825911,19403733.07832333,11918289.30076859,7485443.777554741,7335764.8685239265,5930984.133931167,1404780.7345927588,670229.0274127844
2024-06-01,82741628.46278481,30960187.836473297,14064562.886475079,25816682.002719417,17924956.79717738,7891725.205542034,9977878.270585509,8947810.663310962,1030067.6072745475,1922317.466531511
2024-09-01,108254077.50511675,42060805.48599044,10995156.334535765,32957904.122627288,22771190.716990598,10186713.40563669,17067927.168478873,15321617.687189246,1746309.4812896273,5172284.393484364
2024-12-01,114172544.18271473,42258136.27074492,11641104.561879797,36326937.274958365,24003557.414063815,12323379.860894552,20476121.8311573,17580965.227827866,2895156.603329436,3470244.243974357
2025-03-01,116962849.9066519,47802008.10341693,19072668.05886332,32255484.841780417,18254597.207380276,14000887.634400142,16710720.5555764,13983186.715838358,2727533.839738043,1121968.3470148514
2025-06-01,134939480.87030986,48686218.603645615,19980087.748801928,40729164.981297284,26223068.230591822,14506096.750705464,22766637.566320676,17933816.075830415,4832821.4904902605,2777371.9702443765
2025-09-01,147671984.3326195,56023085.985489815,13755142.71810905,45708602.21390627,27807105.85842102,17901496.355485257,24011642.95047642,17481348.879431654,6530294.071044765,8173510.464637928
2025-12-01,142905501.6028106,54163492.81276611,13890706.738883086,45987746.14059802,27400699.4783299,18587046.66226812,21402499.71517355,16791012.13636538,4611487.57880817,7461056.195389829
